,multinomial_ranks,rpvals,rstats,tpvals,tstats
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanococcoides;Methanococcoides_burtonii,0.12014666073386238,0.4980318969219508,-0.09807482931343409,0.32987680092112504,1.0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina_acetivorans,0.6798339771515565,0.3882057992565091,-0.12470587140345346,0.12575212658905957,1.6015434509314384
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina_barkeri,1.2588233413583474,0.45757577568253316,-0.10746743928235049,0.0751364252344863,1.8827650481943954
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina_mazei,0.5877784179932313,0.21479329292103544,-0.1785342518555954,0.20297755791759742,1.3185989581995783
Archaea;Euryarchaeota;Methanopyri;Methanopyrales;Methanopyraceae;Methanopyrus;Methanopyrus_kandleri,0.4252762483841615,0.06292900408908686,-0.2649794538111131,0.031549141427675315,2.3212036352771825
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Pyrococcus;Pyrococcus_furiosus,0.1987557696587281,1.0,,,
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Pyrococcus;Pyrococcus_horikoshii,0.23210844271246955,1.0,,,
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus_gammatolerans,-3.1385768366568847,0.32870179334593697,-0.1410054795637569,,
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus_kodakarensis,0.708763449121161,0.26192217662786915,-0.16169790355514319,0.12029718976364386,1.626580914055921
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus_onnurineus,-0.484865279268579,0.6019195821140626,0.07557723911483794,0.32987680092112504,-0.9999999999999999
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus_sibiricus,0.21487310402457285,1.0,,,
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Picrophilaceae;Picrophilus;Picrophilus_torridus,0.23744496576849985,1.0,,,
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Thermoplasmataceae;Thermoplasma;Thermoplasma_acidophilum,0.3785365509278016,0.7714864530910562,-0.04212027393099088,0.32987680092112504,0.9999999999999999
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Thermoplasmataceae;Thermoplasma;Thermoplasma_volcanium,0.21529987328116465,1.0,,,
Archaea;Korarchaeota;Candidatus_Korarchaeum;Candidatus_Korarchaeum_cryptofilum,0.26232203714911506,1.0,,,
Archaea;Nanoarchaeota;Microarchaeum;Nanoarchaeum_equitans,0.2390311049706177,1.0,,,
Archaea;Thaumarchaeota;Nitrosopumilales;Nitrosopumilaceae;Nitrosopumilus;Nitrosopumilus_maritimus,0.5776236342674927,0.2409346988324753,-0.16891572763962345,0.2010816886533144,1.3243994218052728
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacterium;Acidobacterium_capsulatum,1.6557967948204713,0.007346491947186786,-0.3746684863268069,0.0014483243559539733,3.7211126319894077
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Granulicella;Granulicella_mallensis,1.8159410642868716,0.010682808556968426,-0.3580352688484073,0.0006189625284161457,4.093430129400069
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Granulicella;Granulicella_tundricola,1.7935778187996585,0.03946861911379868,-0.2922250003021594,0.014056491859119747,2.7043576387061137
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Terriglobus;Terriglobus_roseus,2.0779740499741277,0.02690229545006059,-0.3129636907656132,0.012655803594663256,2.7528756378169343
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Terriglobus;Terriglobus_saanensis,1.446504830051108,0.2390542044424845,-0.16958296907940423,0.27138150977116077,1.1328245646967394
Bacteria;Acidobacteria;Candidatus_Koribacter;Candidatus_Koribacter_versatilis,1.9040020393616397,0.06209228834880035,-0.26579565141034367,0.007982470904640398,2.963389219165788
Bacteria;Acidobacteria;Chloracidobacterium;Chloracidobacterium_thermophilum,1.088806925941152,0.008255037440552046,-0.3695781854133851,0.005805295610566055,3.106887329926805
Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae;Candidatus_Solibacter;Candidatus_Solibacter_usitatus,2.2758674906975465,0.002193756274779838,-0.42327270866924344,0.0007338857855013009,4.018859714676914
Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales;Acidimicrobiaceae;Acidimicrobium;Acidimicrobium_ferrooxidans,1.9491070198303893,0.006499665162327604,-0.37993177118344745,0.01004817866383808,2.8587399226262535
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Acidithermaceae;Acidithermus;Acidithermus_cellulolyticus,2.3632794904,0.002097927263363706,-0.4249392712158724,0.004759598178032419,3.1957232020891135
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Arcanibacterium;Arcanibacterium_haemolyticum,1.2400732595882251,0.012410130195931889,-0.35113312597109275,0.0011386827337342574,3.8265299689804113
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Mobiluncus;Mobiluncus_curtisii,-0.2877284003012939,0.18816931832422956,-0.18921189682387954,0.07930668761173877,1.8541573207815445
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Beutenbergiaceae;Beutenbergia;Beutenbergia_cavernae,2.5363049792534547,4.3405377078957084e-05,-0.5445877802714226,6.391905624328918e-05,5.097886003634683
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Brevibacteriaceae;Brevibacterium;Brevibacterium_linens,1.8013469862229066,0.0006650189171959106,-0.4651570941845448,0.00046166152062668796,4.221906504333383
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Catenulisporaceae;Catenulispora;Catenulispora_acidiphila,2.6161939191109376,0.0002286051758458239,-0.49859104391724535,8.59668649285127e-05,4.964999079220189
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae;Cellulomonas;Cellulomonas_fimi,1.7630685853249268,0.1201316308168391,-0.2226623588687938,0.0316002178122916,2.320416788790293
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae;Cellulomonas;Cellulomonas_flavigena,2.4008809613472657,0.000602268661795836,-0.4684077928175994,2.8112755801328818e-05,5.470350468342483
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium;Corynebacterium_accolens,0.12194195263449716,0.5315307730160865,0.09059234183518199,0.8448972632250779,-0.19832520745008922
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium;Corynebacterium_amycolatum,2.3233139800316533,0.021597767919335445,-0.3242650413995399,0.01175681265257306,2.786796131796195
