,raw_tstats,cell_tstats,raw_pvalues,cell_pvalues,multinomial_ranks,taxonomy
6bad5f0f2484248490b4c83c6c96e2c1,0.8445229024883225,0.8445229024883225,0.11929248347782963,0.41489732113218936,-1.4725770280317194,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Selenomonas; s__
6bd09e834dce86ff4ec4a5c0f631fce5,1.0000000000000002,1.0000000000000002,0.3370490579535843,0.3370490579535843,0.7150888516946905,k__Bacteria
6c5cd01c871990dbcebd27ff48a19198,-0.1599469023810457,-0.1599469023810457,0.30265091872152117,0.8755836704880998,0.6771103813692205,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Neisseria; s__bacilliformis
6dee9ad8019d7a6a17aef3ffdc75a287,-1.0000000000000002,-1.0000000000000002,0.3370490579535843,0.3370490579535843,-0.07743876432932684,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__
6e6ba3f1d999799f0ba2687bbb293ab2,1.4439114928372938,1.4439114928372938,0.29347077084223205,0.17436088793324941,1.2595665752335659,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__[Prevotella]; s__
6f47312c16018daf100523ef19e3c2e3,1.2936068270530656,1.2936068270530656,0.8387076113049369,0.22014721013981342,-0.2489730641797907,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__pallens
707f5ba87a63b8071f5b7cad27aa9046,,,,,0.4360034539743536,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria
70fd8c1c737b5178b1668b4a02222230,0.7359765306047827,0.7359765306047827,0.6888661057332472,0.4758858774921667,-0.10901360964335273,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales
7103ca5409961d5354a28e5d5ed39a5b,1.3881779823009723,1.3881779823009723,0.16540670552301784,0.19031526843426816,0.6618765070482366,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Bulleidia; s__
7144de9684c83011bf5f22cf3b41d0f9,0.5380377225632067,0.5380377225632067,0.0026156702574513745,0.6003880855607164,-0.2369566485837824,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Capnocytophaga; s__
722d3d1d2c9bd01c51fb6b630f284f9f,,,,,-0.3734140918210871,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae
7334e792d9636b5dd455e7031d0f8ef0,-1.0946240860195235,-1.0946240860195235,0.16540670552301784,0.2951661970278072,0.11464960122548272,k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae; g__Treponema; s__
74a9d59bf3f30fd0e72ba65e53955d15,-1.4770579446379002,-1.4770579446379002,0.2054115000833077,0.1654172450341028,-0.023374609704387872,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Tannerella; s__
74ea96809d95b42e8a8a76cafa39153d,-1.0,-1.0,0.3370490579535843,0.3370490579535843,0.03567761922322443,k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__
753d254c07e301ff1edf4cbeb7e5a1f8,0.7117211771990613,0.7117211771990613,0.2322437308152726,0.49024288768367297,-1.199645690675152,k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae
75c1405eb8a41e6e91339d78d3a548a3,,,,,0.7815746142908209,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__delbrueckii
76355427db027e5ec9f4404f906613a1,-1.246004492390615,-1.246004492390615,0.21278195002598693,0.23654036399597184,-1.6782039926008112,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__
76472cd61701bcfef12f0e56ae4a2245,0.15062067120552194,0.15062067120552194,0.14548119449593944,0.8827771736726654,-0.4245713279203303,k__Bacteria
772c6edb64dc8d2b67b8eb2362d93f69,-1.6678571359140844,-1.6678571359140844,0.1192804279733782,0.12120703852557399,-0.17920129751719305,k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae; g__Treponema; s__socranskii
774c45094cda1b8dd6927b5286286851,0.9557401406713201,0.9557401406713201,0.029317832277617764,0.35806183192257546,-0.9099945352033504,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae
783850c71c3366a07cebe6ed6727e673,-1.0,-1.0,0.3370490579535843,0.3370490579535843,-0.3816088960126765,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
78a8c39e07c3672d6a3e1edb3d36b28c,,,,,0.2310726120515936,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cardiobacteriales; f__Cardiobacteriaceae; g__Cardiobacterium; s__valvarum
7945ed12e8c16433888909725ba680d7,1.484104705942186,1.484104705942186,0.20543786640954606,0.1635668523860723,-0.252960972543133,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Bulleidia; s__moorei
7a0daa33ccbc81d2544899edcf888dde,,,,,0.4360034539743536,k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae; g__Treponema; s__amylovorum
7a3c53a016c89d53c85edd54abf40554,-0.5607322390380632,-0.5607322390380632,0.1329089201282344,0.5852979313688584,-0.5712295100644953,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales
7d2a2944a90db0e8393704a43fc2b913,0.7831249740996805,0.7831249740996805,0.6775474773935442,0.4487338171565113,0.13686353707753351,k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae; g__Treponema; s__
7d3d1b2ae0269c414e714804a98a9550,,,,,0.5755738093896978,k__Bacteria
7e13214d1972049c9888289702e256d8,,,,,-0.11436479544199775,k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Leptotrichia; s__
7e2f2185876e3c49bf9da70b15308e79,1.1464173341688277,1.1464173341688277,0.9562401712928488,0.27396868055407975,-0.11020999407328436,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__
7e7b12ed246763ee789a162d6769ce18,-1.4719673963119504,-1.4719673963119504,0.2187577882684554,0.16676499000353392,-0.4081101939634211,k__Bacteria; p__TM7; c__TM7-3; o__I025; f__Rs-045; g__; s__
7eb7a384d6ef9f24cf2abe6a53bf7860,0.9999999999999997,0.9999999999999997,0.3370490579535843,0.3370490579535844,-0.15926771616495916,k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__; g__; s__
7f771ef0aa25cd90dac5d55d6b9cb511,-1.262096438831539,-1.262096438831539,0.2813921686213159,0.2308926336035968,-0.0127972886518366,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__
